"Series Key",EBA.SE-ALL.D.H,"Series Key",EBA.TVA-ALL.D.H
"Series Name","Demand for Southeast (region), hourly - UTC time","Series Name","Demand for Tennessee Valley Authority (TVA), hourly - UTC time"
Units,megawatthours,Units,megawatthours
Frequency,H,Frequency,H
"Start Date",20150701T06Z,"Start Date",20150701T06Z
"End Date",20211012T11Z,"End Date",20211012T11Z
Source,,Source,

20211001T05Z,24390,20211001T05Z,16135
20211001T04Z,25836,20211001T04Z,17364
20211001T03Z,28058,20211001T03Z,18627
20211001T02Z,30123,20211001T02Z,19770
20211001T01Z,31534,20211001T01Z,20586
20211001T00Z,32142,20211001T00Z,20784
20210930T23Z,32490,20210930T23Z,21185
20210930T22Z,33323,20210930T22Z,21862
20210930T21Z,33799,20210930T21Z,21930
20210930T20Z,33571,20210930T20Z,21816
20210930T19Z,32603,20210930T19Z,21371
20210930T18Z,31208,20210930T18Z,20769
20210930T17Z,29662,20210930T17Z,19943
20210930T16Z,28405,20210930T16Z,19069
20210930T15Z,27205,20210930T15Z,18101
20210930T14Z,25891,20210930T14Z,17535
20210930T13Z,24955,20210930T13Z,16973
20210930T12Z,24671,20210930T12Z,16583
20210930T11Z,23711,20210930T11Z,15509
20210930T10Z,22584,20210930T10Z,14641
20210930T09Z,22004,20210930T09Z,14339
20210930T08Z,22473,20210930T08Z,14420
20210930T07Z,23078,20210930T07Z,14881
20210930T06Z,23771,20210930T06Z,15473
20210930T05Z,24311,20210930T05Z,16367
20210930T04Z,25837,20210930T04Z,17723
20210930T03Z,28089,20210930T03Z,19220
20210930T02Z,30280,20210930T02Z,20608
20210930T01Z,32242,20210930T01Z,21844
20210930T00Z,33318,20210930T00Z,22518
20210929T23Z,34550,20210929T23Z,23254
20210929T22Z,35722,20210929T22Z,23900
20210929T21Z,35909,20210929T21Z,23946
20210929T20Z,35293,20210929T20Z,23457
20210929T19Z,34140,20210929T19Z,22812
20210929T18Z,32713,20210929T18Z,21769
20210929T17Z,30933,20210929T17Z,20453
20210929T16Z,29052,20210929T16Z,19251
20210929T15Z,27282,20210929T15Z,18090
20210929T14Z,25860,20210929T14Z,17117
20210929T13Z,24853,20210929T13Z,16502
20210929T12Z,24552,20210929T12Z,16125
20210929T11Z,23854,20210929T11Z,15136
20210929T10Z,22671,20210929T10Z,14218
20210929T09Z,22047,20210929T09Z,13923
20210929T08Z,22158,20210929T08Z,13921
20210929T07Z,22567,20210929T07Z,14328
20210929T06Z,23021,20210929T06Z,15039
20210929T05Z,23445,20210929T05Z,15927
20210929T04Z,25191,20210929T04Z,17263
20210929T03Z,27412,20210929T03Z,18783
20210929T02Z,29341,20210929T02Z,20218
20210929T01Z,31206,20210929T01Z,21397
20210929T00Z,31951,20210929T00Z,21947
20210928T23Z,33001,20210928T23Z,22761
20210928T22Z,33975,20210928T22Z,23277
20210928T21Z,34104,20210928T21Z,23165
20210928T20Z,33608,20210928T20Z,22618
20210928T19Z,32710,20210928T19Z,21741
20210928T18Z,31340,20210928T18Z,20853
20210928T17Z,29974,20210928T17Z,19664
20210928T16Z,28341,20210928T16Z,18441
20210928T15Z,26796,20210928T15Z,17423
20210928T14Z,25344,20210928T14Z,16632
20210928T13Z,24147,20210928T13Z,16082
20210928T12Z,24060,20210928T12Z,15627
20210928T11Z,23243,20210928T11Z,14583
20210928T10Z,22052,20210928T10Z,13706
20210928T09Z,21424,20210928T09Z,13419
20210928T08Z,21449,20210928T08Z,13490
20210928T07Z,21913,20210928T07Z,13848
20210928T06Z,22560,20210928T06Z,14408
20210928T05Z,22983,20210928T05Z,15260
20210928T04Z,24313,20210928T04Z,16402
20210928T03Z,26611,20210928T03Z,17844
20210928T02Z,28830,20210928T02Z,19059
20210928T01Z,30822,20210928T01Z,20316
20210928T00Z,31643,20210928T00Z,20697
20210927T23Z,32865,20210927T23Z,21557
20210927T22Z,33748,20210927T22Z,21946
20210927T21Z,33644,20210927T21Z,21643
20210927T20Z,32834,20210927T20Z,21035
20210927T19Z,31613,20210927T19Z,20262
20210927T18Z,30210,20210927T18Z,19485
20210927T17Z,28655,20210927T17Z,18530
20210927T16Z,27083,20210927T16Z,17753
20210927T15Z,25684,20210927T15Z,16879
20210927T14Z,24368,20210927T14Z,16131
20210927T13Z,23223,20210927T13Z,15609
20210927T12Z,22740,20210927T12Z,15376
20210927T11Z,21599,20210927T11Z,14097
20210927T10Z,20650,20210927T10Z,13197
20210927T09Z,19988,20210927T09Z,12792
20210927T08Z,19863,20210927T08Z,12773
20210927T07Z,20162,20210927T07Z,12937
20210927T06Z,20610,20210927T06Z,13244
20210927T05Z,21438,20210927T05Z,14032
20210927T04Z,22402,20210927T04Z,15158
20210927T03Z,24454,20210927T03Z,16246
20210927T02Z,26385,20210927T02Z,17436
20210927T01Z,28050,20210927T01Z,18188
20210927T00Z,28531,20210927T00Z,18188
20210926T23Z,29642,20210926T23Z,18895
20210926T22Z,30196,20210926T22Z,19272
20210926T21Z,29787,20210926T21Z,18870
20210926T20Z,28876,20210926T20Z,18169
20210926T19Z,27675,20210926T19Z,17649
20210926T18Z,26228,20210926T18Z,16791
20210926T17Z,24789,20210926T17Z,15937
20210926T16Z,23257,20210926T16Z,15233
20210926T15Z,22014,20210926T15Z,14509
20210926T14Z,20717,20210926T14Z,13935
20210926T13Z,19606,20210926T13Z,13213
20210926T12Z,19091,20210926T12Z,12610
20210926T11Z,19322,20210926T11Z,12357
20210926T10Z,19081,20210926T10Z,12211
20210926T09Z,18992,20210926T09Z,12247
20210926T08Z,18868,20210926T08Z,12396
20210926T07Z,19185,20210926T07Z,12680
20210926T06Z,19307,20210926T06Z,13120
20210926T05Z,20064,20210926T05Z,13764
20210926T04Z,21488,20210926T04Z,14719
20210926T03Z,22883,20210926T03Z,15568
20210926T02Z,24336,20210926T02Z,16340
20210926T01Z,25648,20210926T01Z,16924
20210926T00Z,26217,20210926T00Z,17210
20210925T23Z,27354,20210925T23Z,17800
20210925T22Z,27953,20210925T22Z,17902
20210925T21Z,27681,20210925T21Z,17629
20210925T20Z,26956,20210925T20Z,17084
20210925T19Z,25916,20210925T19Z,16520
20210925T18Z,24938,20210925T18Z,16045
20210925T17Z,24109,20210925T17Z,15538
20210925T16Z,23214,20210925T16Z,15269
20210925T15Z,22350,20210925T15Z,14963
20210925T14Z,21581,20210925T14Z,14367
20210925T13Z,20708,20210925T13Z,13759
20210925T12Z,19764,20210925T12Z,13257
20210925T11Z,19592,20210925T11Z,12736
20210925T10Z,19112,20210925T10Z,12422
20210925T09Z,18920,20210925T09Z,12420
20210925T08Z,19056,20210925T08Z,12545
20210925T07Z,19349,20210925T07Z,12832
20210925T06Z,19594,20210925T06Z,13194
20210925T05Z,20605,20210925T05Z,13909
20210925T04Z,21613,20210925T04Z,14657
20210925T03Z,23072,20210925T03Z,15574
20210925T02Z,24431,20210925T02Z,16266
20210925T01Z,25655,20210925T01Z,16884
20210925T00Z,26186,20210925T00Z,17002
20210924T23Z,27315,20210924T23Z,17477
20210924T22Z,27863,20210924T22Z,17788
20210924T21Z,27721,20210924T21Z,17564
20210924T20Z,26933,20210924T20Z,17325
20210924T19Z,26108,20210924T19Z,17009
20210924T18Z,25359,20210924T18Z,16634
20210924T17Z,24603,20210924T17Z,16460
20210924T16Z,24155,20210924T16Z,16284
20210924T15Z,23802,20210924T15Z,16086
20210924T14Z,23108,20210924T14Z,15916
20210924T13Z,22500,20210924T13Z,15589
20210924T12Z,21968,20210924T12Z,15164
20210924T11Z,21034,20210924T11Z,14079
20210924T10Z,19892,20210924T10Z,13140
20210924T09Z,19355,20210924T09Z,12742
20210924T08Z,19329,20210924T08Z,12781
20210924T07Z,19648,20210924T07Z,12851
20210924T06Z,19632,20210924T06Z,13143
20210924T05Z,20362,20210924T05Z,13744
20210924T04Z,21841,20210924T04Z,14662
20210924T03Z,23700,20210924T03Z,15828
20210924T02Z,25284,20210924T02Z,16730
20210924T01Z,26635,20210924T01Z,17268
20210924T00Z,26575,20210924T00Z,17101
20210923T23Z,27249,20210923T23Z,17423
20210923T22Z,27595,20210923T22Z,17480
20210923T21Z,27562,20210923T21Z,17207
20210923T20Z,26914,20210923T20Z,16888
20210923T19Z,26248,20210923T19Z,16741
20210923T18Z,25507,20210923T18Z,16508
20210923T17Z,24854,20210923T17Z,16342
20210923T16Z,24343,20210923T16Z,16208
20210923T15Z,23843,20210923T15Z,15915
20210923T14Z,23375,20210923T14Z,15630
20210923T13Z,22854,20210923T13Z,15375
20210923T12Z,22454,20210923T12Z,15010
20210923T11Z,21274,20210923T11Z,13934
20210923T10Z,20250,20210923T10Z,12944
20210923T09Z,19739,20210923T09Z,12682
20210923T08Z,19690,20210923T08Z,12695
20210923T07Z,20164,20210923T07Z,12934
20210923T06Z,20870,20210923T06Z,13219
20210923T05Z,22078,20210923T05Z,13851
20210923T04Z,23467,20210923T04Z,14804
20210923T03Z,25190,20210923T03Z,15835
